turfID,type,starting_time,date,comments,data_entry,
81 AN1C 81,NEE,071815,2022-07-28,,,
81 AN1C 81,ER,072210,2022-07-28,,,
3 WN1C 85,NEE,072640,2022-07-28,,,
3 WN1C 85,ER,073100,2022-07-28,,,
156 AN2C 156,NEE,073830,2022-07-28,,,
156 AN2C 156,ER,074230,2022-07-28,,,
74 WN2C 155,NEE,074635,2022-07-28,,,
74 WN2C 155,ER,075045,2022-07-28,,,
109 AN3C 109,NEE,075645,2022-07-28,,,
109 AN3C 109,ER,080105,2022-07-28,,,
29 WN3C 106,NEE,080450,2022-07-28,,,
29 WN3C 106,ER,080910,2022-07-28,,,
81 AN1C 81,NEE,082345,2022-07-28,,,
81 AN1C 81,ER,082745,2022-07-28,,,
3 WN1C 85,NEE,083200,2022-07-28,,,
3 WN1C 85,ER,083600,2022-07-28,,,
156 AN2C 156,NEE,084130,2022-07-28,,,
156 AN2C 156,ER,084530,2022-07-28,,,
74 WN2C 155,NEE,084930,2022-07-28,,,
74 WN2C 155,ER,085315,2022-07-28,,,
109 AN3C 109,NEE,085905,2022-07-28,,,
109 AN3C 109,ER,090335,2022-07-28,,,
29 WN3C 106,NEE,090730,2022-07-28,,,
29 WN3C 106,ER,091130,2022-07-28,,,
81 AN1C 81,NEE,092110,2022-07-28,,,
81 AN1C 81,ER,092520,2022-07-28,,,
3 WN1C 85,NEE,092930,2022-07-28,,,
3 WN1C 85,ER,093345,2022-07-28,,,
156 AN2C 156,NEE,094430,2022-07-28,,,
156 AN2C 156,ER,094845,2022-07-28,,,
74 WN2C 155,NEE,095250,2022-07-28,,,
74 WN2C 155,ER,095700,2022-07-28,,,
109 AN3C 109,NEE,100320,2022-07-28,,,
109 AN3C 109,ER,100730,2022-07-28,,,
29 WN3C 106,NEE,101155,2022-07-28,,,
29 WN3C 106,ER,101605,2022-07-28,,,
81 AN1C 81,NEE,102030,2022-07-28,,,
81 AN1C 81,ER,102420,2022-07-28,,,
3 WN1C 85,NEE,102835,2022-07-28,,,
3 WN1C 85,ER,103245,2022-07-28,,,
156 AN2C 156,NEE,104035,2022-07-28,,,
156 AN2C 156,ER,104440,2022-07-28,,,
74 WN2C 155,NEE,104915,2022-07-28,,,
74 WN2C 155,ER,105320,2022-07-28,,,
109 AN3C 109,NEE,105945,2022-07-28,,,
109 AN3C 109,ER,110335,2022-07-28,,,
29 WN3C 106,NEE,110744,2022-07-28,,,
29 WN3C 106,ER,111139,2022-07-28,,,
81 AN1C 81,NEE,112108,2022-07-28,29 706 inverted with 709 709 from here onward,,
81 AN1C 81,ER,112529,2022-07-28,,,
3 WN1C 85,NEE,112940,2022-07-28,,,
3 WN1C 85,ER,113340,2022-07-28,"possibly 113440, check data",
156 AN2C 156,NEE,114044,2022-07-28,,,
156 AN2C 156,ER,114440,2022-07-28,,,
74 WN2C 155,NEE,114830,2022-07-28,,,
74 WN2C 155,ER,115232,2022-07-28,,,
109 AN3C 109,NEE,115921,2022-07-28,soil temp not in until 115951,,
109 AN3C 109,ER,120333,2022-07-28,,,
29 WN3C 106,NEE,120730,2022-07-28,,,
29 WN3C 106,ER,121134,2022-07-28,,,
81 AN1C 81,NEE,122430,2022-07-28,,,
81 AN1C 81,ER,122817,2022-07-28,fan stopped briefly at 123100,,
3 WN1C 85,NEE,123246,2022-07-28,,,
3 WN1C 85,ER,123639,2022-07-28,,,
156 AN2C 156,NEE,124236,2022-07-28,,,
156 AN2C 156,ER,124648,2022-07-28,,,
74 WN2C 155,NEE,125103,2022-07-28,,,
74 WN2C 155,ER,125510,2022-07-28,,,
109 AN3C 109,NEE,130108,2022-07-28,,,
109 AN3C 109,ER,130527,2022-07-28,,,
29 WN3C 106,NEE,131000,2022-07-28,,,
29 WN3C 106,ER,131407,2022-07-28,,,
81 AN1C 81,NEE,132411,2022-07-28,,,
81 AN1C 81,ER,132814,2022-07-28,,,
3 WN1C 85,NEE,133306,2022-07-28,,,
3 WN1C 85,ER,133715,2022-07-28,,,
156 AN2C 156,NEE,134325,2022-07-28,,,
156 AN2C 156,ER,134823,2022-07-28,,,
74 WN2C 155,NEE,135222,2022-07-28,,,
74 WN2C 155,ER,135621,2022-07-28,,,
109 AN3C 109,NEE,140345,2022-07-28,,,
109 AN3C 109,ER,140758,2022-07-28,,,
29 WN3C 106,NEE,141245,2022-07-28,,,
29 WN3C 106,ER,141705,2022-07-28,,,
81 AN1C 81,NEE,143145,2022-07-28,,,
81 AN1C 81,ER,143539,2022-07-28,,,
3 WN1C 85,NEE,143931,2022-07-28,,,
3 WN1C 85,ER,144338,2022-07-28,,,
156 AN2C 156,NEE,144905,2022-07-28,,,
156 AN2C 156,ER,145315,2022-07-28,,,
74 WN2C 155,NEE,145700,2022-07-28,,,
74 WN2C 155,ER,150115,2022-07-28,,,
109 AN3C 109,NEE,150712,2022-07-28,,,
