turfID,type,starting_time,date,comments,data_entry,round
4 AN1C 4,NEE,53730,2022-07-27,,hilary rose,1
4 AN1C 4,ER,54200,2022-07-27,,hilary rose,1
27 AN3C 27,NEE,54655,2022-07-27,,hilary rose,1
27 AN3C 27,ER,55045,2022-07-27,,hilary rose,1
77 AN2C 77,NEE,55730,2022-07-27,,hilary rose,1
77 AN2C 77,ER,60200,2022-07-27,,hilary rose,1
4 AN1C 4,NEE,63200,2022-07-27,,hilary rose,2
4 AN1C 4,ER,63630,2022-07-27,,hilary rose,2
27 AN3C 27,NEE,64115,2022-07-27,,hilary rose,2
27 AN3C 27,ER,64550,2022-07-27,,hilary rose,2
77 AN2C 77,NEE,65215,2022-07-27,,hilary rose,2
77 AN2C 77,ER,65700,2022-07-27,,hilary rose,2
4 AN1C 4,NEE,73200,2022-07-27,,hilary rose,3
4 AN1C 4,ER,73615,2022-07-27,,hilary rose,3
27 AN3C 27,NEE,74200,2022-07-27,,hilary rose,3
27 AN3C 27,ER,74645,2022-07-27,,hilary rose,3
77 AN2C 77,NEE,75350,2022-07-27,,hilary rose,3
77 AN2C 77,ER,75830,2022-07-27,,hilary rose,3
4 AN1C 4,NEE,83215,2022-07-27,,hilary rose,4
4 AN1C 4,ER,83700,2022-07-27,,hilary rose,4
27 AN3C 27,NEE,84215,2022-07-27,,hilary rose,4
27 AN3C 27,ER,84715,2022-07-27,,hilary rose,4
77 AN2C 77,NEE,85320,2022-07-27,,hilary rose,4
77 AN2C 77,ER,85750,2022-07-27,,hilary rose,4
4 AN1C 4,NEE,93130,2022-07-27,,hilary rose,5
4 AN1C 4,ER,93545,2022-07-27,,hilary rose,5
27 AN3C 27,NEE,94115,2022-07-27,,hilary rose,5
27 AN3C 27,ER,94615,2022-07-27,,hilary rose,5
77 AN2C 77,NEE,95230,2022-07-27,,hilary rose,5
77 AN2C 77,ER,95715,2022-07-27,,hilary rose,5
4 AN1C 4,NEE,103140,2022-07-27,,hilary rose,6
4 AN1C 4,ER,103645,2022-07-27,,hilary rose,6
27 AN3C 27,NEE,104110,2022-07-27,,hilary rose,6
27 AN3C 27,ER,104520,2022-07-27,,hilary rose,6
77 AN2C 77,NEE,105145,2022-07-27,,hilary rose,6
77 AN2C 77,ER,105630,2022-07-27,,hilary rose,6
4 AN1C 4,NEE,113025,2022-07-27,,hilary rose,7
4 AN1C 4,ER,113500,2022-07-27,,hilary rose,7
27 AN3C 27,NEE,113912,2022-07-27,,hilary rose,7
27 AN3C 27,ER,114331,2022-07-27,,hilary rose,7
77 AN2C 77,NEE,114835,2022-07-27,,hilary rose,7
77 AN2C 77,ER,115222,2022-07-27,,hilary rose,7
4 AN1C 4,NEE,123026,2022-07-27,,hilary rose,8
4 AN1C 4,ER,123416,2022-07-27,,hilary rose,8
27 AN3C 27,NEE,123848,2022-07-27,,hilary rose,8
27 AN3C 27,ER,124244,2022-07-27,,hilary rose,8
77 AN2C 77,NEE,124804,2022-07-27,,hilary rose,8
77 AN2C 77,ER,125205,2022-07-27,,hilary rose,8
4 AN1C 4,NEE,132946,2022-07-27,,hilary rose,9
4 AN1C 4,ER,133436,2022-07-27,,hilary rose,9
27 AN3C 27,NEE,133858,2022-07-27,,hilary rose,9
27 AN3C 27,ER,134313,2022-07-27,,hilary rose,9
77 AN2C 77,NEE,134910,2022-07-27,,hilary rose,9
77 AN2C 77,ER,135335,2022-07-27,,hilary rose,9
4 AN1C 4,NEE,145135,2022-07-27,"new time, had to fix fan",hilary rose,10
4 AN1C 4,ER,145612,2022-07-27,,hilary rose,10
27 AN3C 27,NEE,150158,2022-07-27,,hilary rose,10
27 AN3C 27,ER,150604,2022-07-27,,hilary rose,10
77 AN2C 77,NEE,151159,2022-07-27,,hilary rose,10
