datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag
2022-07-28T23:43:35Z,NA,NA,447.22,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:36Z,7.22,10.88,447.22,1.68,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:37Z,NA,NA,448.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:38Z,NA,NA,448.85,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:39Z,NA,NA,449.48,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:40Z,NA,NA,449.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:41Z,NA,NA,450.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:42Z,NA,NA,451.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:43Z,NA,NA,452.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:44Z,NA,NA,453.1,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:45Z,NA,NA,453.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:46Z,7.22,10.87,454.74,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:47Z,NA,NA,455.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:48Z,NA,NA,456.16,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
2022-07-28T23:43:49Z,NA,NA,457.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA
