PAR_ave,type,campaign,datetime,f_flux,OTC,treatment
1158.2625,NEE,3,2020-08-08T16:31:00Z,0.48895969825431,NA,C_C
0.094129625,ER,4,2020-08-22T10:56:45Z,22.5267166585019,NA,C_C
0.11861025,ER,4,2020-08-22T11:00:15Z,29.8826873889073,NA,C_C
0.13099625,ER,4,2020-08-22T11:03:30Z,26.3297617638888,NA,C_C
81.85225,NEE,4,2020-08-22T11:07:00Z,13.4478082105579,NA,C_C
87.108,NEE,4,2020-08-22T11:10:15Z,13.0862192544881,NA,C_C
88.32475,NEE,4,2020-08-22T11:14:45Z,23.562478488578,NA,C_C
0.2184225,ER,4,2020-08-22T11:19:45Z,67.1697012394733,NA,W_C
0.25208125,ER,4,2020-08-22T11:22:45Z,48.810651994395,NA,W_C
0.3236275,ER,4,2020-08-22T11:25:45Z,65.6940985621549,NA,W_C
234.022857142857,NEE,4,2020-08-22T11:29:10Z,38.2693937787022,NA,W_C
328.713333333333,NEE,4,2020-08-22T11:32:20Z,25.3413611202223,NA,W_C
163.792857142857,NEE,4,2020-08-22T11:35:30Z,26.6172929173576,NA,W_C
0.599605,ER,4,2020-08-22T11:41:30Z,15.363159404029,NA,W_C
0.48274375,ER,4,2020-08-22T11:44:45Z,20.2735881168414,NA,W_C
0.5918825,ER,4,2020-08-22T11:48:00Z,13.3071477468556,NA,W_C
432.69125,NEE,4,2020-08-22T11:51:15Z,-8.34678155677629,NA,W_C
478.7375,NEE,4,2020-08-22T11:54:15Z,-14.2954300643545,NA,W_C
286.0125,NEE,4,2020-08-22T12:00:15Z,3.67103686455456,NA,W_C
0.5403,ER,4,2020-08-22T12:05:15Z,21.7622093569867,NA,W_C
0.40843,ER,4,2020-08-22T12:08:45Z,7.45094870706742,NA,W_C
0.43597,ER,4,2020-08-22T12:12:45Z,0,NA,W_C
319.735,NEE,4,2020-08-22T12:16:15Z,-12.6714325264363,NA,W_C
209.28625,NEE,4,2020-08-22T12:19:45Z,-9.45277687660448,NA,W_C
260.495,NEE,4,2020-08-22T12:22:30Z,-11.0002441778791,NA,W_C
0.4712325,ER,4,2020-08-22T12:26:15Z,15.3456598182535,NA,C_C
0.87471,ER,4,2020-08-22T12:29:45Z,39.3671885068345,NA,C_C
754.5425,NEE,4,2020-08-22T12:33:15Z,-26.6442101452633,NA,C_C
1593.9675,NEE,4,2020-08-22T12:36:45Z,-14.4898130312062,NA,C_C
1.8829,ER,4,2020-08-22T12:43:30Z,21.5125225467733,NA,W_C
