co2_conc,h2o_conc,temperature_c,pressure_kpa,signal_strength,date_time,start_time,file_name,site,elevation,aspect,plot,day_night,measurement,redo,plot_id,par,f_fit,f_slope,f_time,f_rsq,f_rsq_adj,f_pval,f_segment_id,corrected_for_water_vapor,f_cut
406.965,12.3948,17.563,73.0135,99.0257,2023-12-08T15:53:35Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,956.89,406.396072320064,-0.0797470350671288,1,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
407.087,12.4214,17.5874,73.0132,99.0278,2023-12-08T15:53:36Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,957.05,406.317414334175,-0.0797470350671288,2,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
407.113,12.4027,17.6088,73.008,99.0222,2023-12-08T15:53:37Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,942.95,406.238756348285,-0.0797470350671288,3,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
406.651,12.5222,17.6327,73.0108,99.027,2023-12-08T15:53:38Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,900.79,406.160098362396,-0.0797470350671288,4,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
406.377,12.6356,17.6567,73.0125,99.0284,2023-12-08T15:53:39Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,890.34,406.081440376507,-0.0797470350671288,5,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
406.623,12.6428,17.678,73.0093,99.0265,2023-12-08T15:53:40Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,898.99,406.002782390617,-0.0797470350671288,6,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
405.955,12.7857,17.7013,73.0078,99.019,2023-12-08T15:53:41Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,923.98,405.924124404728,-0.0797470350671288,7,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
405.901,13.1555,17.7249,73.0169,99.0103,2023-12-08T15:53:42Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,893.16,405.845466418838,-0.0797470350671288,8,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
405.924,12.9404,17.7471,73.016,99.0102,2023-12-08T15:53:43Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,910.81,405.766808432949,-0.0797470350671288,9,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
405.719,13.0684,17.7714,73.0148,99.0086,2023-12-08T15:53:44Z,2023-12-08T15:53:28Z,5_2800_west_5_day_photo.txt,5,2800,west,5,day,photo,FALSE,2800west5,902.61,405.68815044706,-0.0797470350671288,10,0.923710952018971,0.921080295192039,9.52317347288537e-18,segment_1,TRUE,keep
