co2_conc,h2o_conc,temperature_c,pressure_kpa,signal_strength,date_time,start_time,file_name,site,elevation,aspect,plot,day_night,measurement,redo,plot_id,par
430.42,13.5493,22.1659,73.1374,98.9324,2023-12-08T14:28:42Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,794.19
429.836,13.6937,22.1795,73.1328,98.9285,2023-12-08T14:28:43Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,848.6
429.673,13.81,22.1961,73.1332,98.9401,2023-12-08T14:28:44Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,828.75
429.599,13.8443,22.2123,73.1372,98.929,2023-12-08T14:28:45Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,931.36
429.652,13.8763,22.2283,73.1271,98.9295,2023-12-08T14:28:46Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,913.16
429.389,13.9622,22.2444,73.133,98.9286,2023-12-08T14:28:47Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,892.64
429.482,14.0214,22.2574,73.1374,98.9275,2023-12-08T14:28:48Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,811.39
429.164,14.0982,22.2742,73.1265,98.935,2023-12-08T14:28:49Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,922.61
428.946,14.2342,22.2903,73.1368,98.9364,2023-12-08T14:28:50Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,911.75
428.978,14.4432,22.3058,73.1341,98.9304,2023-12-08T14:28:51Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,909.95
429.067,14.4592,22.3209,73.1363,98.9302,2023-12-08T14:28:52Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,861.43
429.133,14.4222,22.3326,73.132,98.9245,2023-12-08T14:28:53Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,661.9
429.087,14.492,22.3482,73.1392,98.9214,2023-12-08T14:28:54Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,580.06
428.817,14.6862,22.3646,73.1296,98.917,2023-12-08T14:28:55Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,617.13
428.698,14.7091,22.3815,73.1289,98.9158,2023-12-08T14:28:56Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,679.34
428.803,14.9083,22.398,73.1381,98.9231,2023-12-08T14:28:57Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,851.88
428.827,14.841,22.4139,73.1299,98.9282,2023-12-08T14:28:58Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,935.65
428.348,15.0551,22.4307,73.1371,98.9252,2023-12-08T14:28:59Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,947.39
428.673,15.0341,22.4472,73.1329,98.9068,2023-12-08T14:29:00Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,912.64
428.383,15.2335,22.4643,73.1367,98.9093,2023-12-08T14:29:01Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,757.29
428.531,15.1464,22.4822,73.1422,98.9153,2023-12-08T14:29:02Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,704.4
428.45,15.2648,22.5001,73.1363,98.9163,2023-12-08T14:29:03Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,875.35
428.455,15.2669,22.5177,73.1365,98.9126,2023-12-08T14:29:04Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,961.25
428.294,15.3449,22.5345,73.1359,98.915,2023-12-08T14:29:05Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,960.92
428.21,15.4804,22.5487,73.136,98.9008,2023-12-08T14:29:06Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,870.92
428.457,15.4634,22.5657,73.1348,98.9071,2023-12-08T14:29:07Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,781.38
428.428,15.5584,22.5829,73.1377,98.9067,2023-12-08T14:29:08Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,826.11
428.404,15.6299,22.6003,73.1403,98.9071,2023-12-08T14:29:09Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,916.26
428.433,15.6569,22.6173,73.1316,98.9057,2023-12-08T14:29:10Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,941.41
428.579,15.6937,22.6314,73.1382,98.9023,2023-12-08T14:29:11Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,886.7
428.321,15.7684,22.6481,73.1336,98.9005,2023-12-08T14:29:12Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,884.41
428.328,15.8186,22.6647,73.1273,98.9052,2023-12-08T14:29:13Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,909.17
428.251,15.9214,22.6817,73.1275,98.8977,2023-12-08T14:29:14Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,925.11
428.158,15.9904,22.6969,73.1293,98.8997,2023-12-08T14:29:15Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,918.28
428.355,16.101,22.7118,73.1337,98.8994,2023-12-08T14:29:16Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,956.02
428.902,16.0945,22.7284,73.1352,98.8929,2023-12-08T14:29:17Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,967.21
428.318,16.3036,22.7446,73.1321,98.896,2023-12-08T14:29:18Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,977.23
428.882,16.501,22.7605,73.1311,98.8942,2023-12-08T14:29:19Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,969.52
428.416,16.4198,22.7738,73.1341,98.8903,2023-12-08T14:29:20Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,973.32
428.56,16.541,22.7896,73.1376,98.897,2023-12-08T14:29:21Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,974.17
428.75,16.5425,22.806,73.1281,98.8981,2023-12-08T14:29:22Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,972.72
428.293,16.6165,22.8217,73.1319,98.8935,2023-12-08T14:29:23Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,968.63
428.493,16.6814,22.838,73.1322,98.8973,2023-12-08T14:29:24Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,970.77
428.673,16.7286,22.8513,73.1323,98.8945,2023-12-08T14:29:25Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,964.88
428.73,16.8478,22.8668,73.1282,98.9068,2023-12-08T14:29:26Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,936.74
428.62,16.8717,22.8815,73.1304,98.9082,2023-12-08T14:29:27Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,961.92
428.476,16.9132,22.8942,73.1289,98.9029,2023-12-08T14:29:28Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,911.19
428.363,17.0166,22.9064,73.131,98.8984,2023-12-08T14:29:29Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,809.39
428.312,17.0614,22.9198,73.1356,98.8915,2023-12-08T14:29:30Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,625.62
428.477,17.0915,22.9308,73.1302,98.9029,2023-12-08T14:29:31Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,503.14
428.527,17.1619,22.9449,73.1292,98.8926,2023-12-08T14:29:32Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,682.19
428.306,17.2231,22.9585,73.1325,98.8948,2023-12-08T14:29:33Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,901.16
428.443,17.2187,22.9722,73.1389,98.8891,2023-12-08T14:29:34Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,914.83
428.332,17.3064,22.9856,73.1289,98.8906,2023-12-08T14:29:35Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,866.39
428.338,17.317,22.9984,73.1374,98.8995,2023-12-08T14:29:36Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,836.73
428.224,17.4016,23.0079,73.1367,98.8992,2023-12-08T14:29:37Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,827.79
428.355,17.4745,23.0182,73.1359,98.8953,2023-12-08T14:29:38Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,901.31
428.192,17.5643,23.0287,73.1358,98.8908,2023-12-08T14:29:39Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,833.88
428.157,17.6019,23.039,73.137,98.8893,2023-12-08T14:29:40Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,682.35
428.5,17.6235,23.0501,73.1317,98.8802,2023-12-08T14:29:41Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,664.4
428.127,17.831,23.0616,73.1321,98.8795,2023-12-08T14:29:42Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,687.18
428.107,17.8158,23.0734,73.1309,98.8829,2023-12-08T14:29:43Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,802.99
428.209,17.8206,23.0848,73.1331,98.892,2023-12-08T14:29:44Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,896.18
428.267,17.8696,23.0957,73.1344,98.8948,2023-12-08T14:29:45Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,891.04
428.397,17.9452,23.1053,73.129,98.8761,2023-12-08T14:29:46Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,887.17
428.229,18.015,23.1154,73.1332,98.8736,2023-12-08T14:29:47Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,811.56
428.166,18.058,23.1268,73.1254,98.8803,2023-12-08T14:29:48Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,619.34
428.38,18.1383,23.1393,73.1288,98.8879,2023-12-08T14:29:49Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,674.13
428.113,18.1622,23.1505,73.1329,98.8832,2023-12-08T14:29:50Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,955.99
428.079,18.2517,23.1576,73.134,98.8858,2023-12-08T14:29:51Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,995.86
428.307,18.2236,23.1669,73.1337,98.8798,2023-12-08T14:29:52Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,883.44
428.091,18.4637,23.1769,73.1311,98.8868,2023-12-08T14:29:53Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,639.19
428.361,18.3895,23.1856,73.1285,98.8987,2023-12-08T14:29:54Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,651.82
428.216,18.4018,23.1929,73.1321,98.8979,2023-12-08T14:29:55Z,2023-12-08T14:28:42Z,5_2800_east_1_day_photo.txt,5,2800,east,1,day,photo,FALSE,2800east1,786.31
