Apr 10 2019 at 15:58:26
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.19	25.00	67.34	0.00	0.0618	11.24	494.7	413.86	0.0364	252.5	4.545	9.30	0.27	1.50
	1.19	25.00	67.34	0.00	0.0619	11.25	494.9	414.02	0.0364	253.9	4.570	9.35	0.35	1.50
	2.19	25.00	67.32	0.00	0.0619	11.25	494.9	414.13	0.0366	255.9	4.607	9.42	0.46	1.50
	3.19	24.98	67.34	0.00	0.0618	11.24	494.6	413.74	0.0366	255.3	4.595	9.40	0.42	1.50
	4.25	25.00	67.32	0.00	0.0620	11.25	495.2	414.43	0.0369	255.6	4.600	9.41	0.44	1.50
	5.19	25.00	67.34	0.00	0.0620	11.24	494.4	413.63	0.0368	256.4	4.614	9.44	0.48	1.50
	6.20	25.00	67.34	249.90	0.0620	11.26	495.4	414.47	0.0371	258.5	4.653	9.52	0.60	1.50
	7.19	25.00	67.34	0.00	0.0620	11.26	495.4	414.47	0.0370	259.3	4.668	9.55	0.64	1.50
	8.20	25.00	67.37	0.00	0.0621	11.27	495.9	414.75	0.0376	263.8	4.748	9.71	0.88	1.50
	9.19	25.00	67.34	0.00	0.0619	11.27	495.9	414.84	0.0373	262.6	4.727	9.67	0.81	1.50
	10.20	25.00	67.34	0.00	0.0618	11.24	494.4	413.62	0.0375	263.5	4.744	9.70	0.86	1.50
	11.19	25.00	67.31	0.00	0.0619	11.25	495.0	414.27	0.0373	262.6	4.727	9.67	0.82	1.50
	12.20	24.98	67.34	0.00	0.0621	11.29	496.8	415.59	0.0374	267.8	4.820	9.86	1.09	1.50
	13.16	25.00	67.31	0.00	0.0620	11.25	494.8	414.09	0.0377	263.7	4.747	9.71	0.87	1.50
	14.20	25.02	67.34	0.00	0.0621	11.26	495.4	414.51	0.0379	264.4	4.759	9.73	0.91	1.50
	15.19	25.00	67.34	0.00	0.0620	11.25	495.1	414.16	0.0378	264.6	4.763	9.74	0.92	1.50
	16.19	25.00	67.32	0.00	0.0619	11.24	494.5	413.86	0.0377	264.5	4.760	9.74	0.91	1.50
	17.19	25.02	67.37	0.00	0.0619	11.24	494.7	413.75	0.0379	266.5	4.797	9.81	1.02	1.50
	18.19	25.00	67.34	0.00	0.0619	11.25	494.9	414.04	0.0381	269.4	4.849	9.92	1.17	1.50
	19.25	25.00	67.34	0.00	0.0622	11.28	496.1	415.05	0.0383	268.8	4.838	9.89	1.14	1.50
	20.19	25.02	67.34	0.00	0.0621	11.28	496.2	415.13	0.0382	269.5	4.852	9.92	1.18	1.50
	21.20	25.00	67.34	0.00	0.0621	11.28	496.1	415.07	0.0384	270.6	4.871	9.96	1.23	1.50
	22.19	24.96	67.32	0.00	0.0619	11.26	495.3	414.45	0.0383	271.0	4.878	9.98	1.25	1.50
	23.20	24.98	67.34	0.00	0.0620	11.27	496.1	415.00	0.0385	272.9	4.912	10.04	1.35	1.50
	24.19	24.98	67.34	0.00	0.0620	11.27	496.0	414.96	0.0386	272.9	4.912	10.05	1.35	1.50
	25.19	25.00	67.31	0.00	0.0620	11.27	495.9	415.01	0.0386	273.3	4.919	10.06	1.37	1.50
	26.19	25.00	67.32	250.00	0.0621	11.30	497.0	415.96	0.0387	275.1	4.951	10.13	1.46	1.50
	27.19	25.00	67.34	0.00	0.0619	11.25	495.2	414.28	0.0387	274.8	4.947	10.12	1.45	1.50
	28.19	25.00	67.34	0.00	0.0621	11.27	495.8	414.76	0.0389	274.6	4.942	10.11	1.43	1.50
	29.20	25.00	67.32	0.00	0.0620	11.27	495.9	414.99	0.0387	275.0	4.949	10.12	1.45	1.50
	30.28	25.00	67.32	0.00	0.0621	11.28	496.3	415.38	0.0389	276.1	4.970	10.17	1.51	1.50
	31.20	24.96	67.32	0.00	0.0619	11.25	495.2	414.37	0.0392	278.0	5.004	10.23	1.60	1.50
	32.28	24.98	67.34	0.00	0.0619	11.29	496.6	415.43	0.0390	277.9	5.002	10.23	1.60	1.50
	33.20	25.00	67.32	0.00	0.0620	11.28	496.3	415.31	0.0391	278.5	5.012	10.25	1.63	1.50
	34.20	25.00	67.32	0.00	0.0619	11.27	496.0	415.08	0.0391	278.1	5.006	10.24	1.61	1.50
	35.19	24.96	67.34	0.00	0.0620	11.28	496.3	415.11	0.0391	278.2	5.007	10.24	1.61	1.50
	36.20	24.96	67.34	0.00	0.0619	11.29	496.6	415.36	0.0394	280.8	5.055	10.34	1.75	1.50
	37.19	24.96	67.31	0.00	0.0620	11.27	495.8	414.93	0.0394	280.3	5.045	10.32	1.72	1.50
	38.20	24.98	67.31	0.00	0.0620	11.28	496.3	415.34	0.0396	281.6	5.069	10.37	1.79	1.50
	39.19	24.98	67.34	0.00	0.0621	11.29	496.9	415.71	0.0398	284.2	5.115	10.46	1.91	1.50
	40.20	25.00	67.34	0.00	0.0620	11.27	496.1	415.01	0.0396	281.8	5.073	10.37	1.80	1.50
	41.19	24.98	67.34	0.00	0.0620	11.28	496.2	415.06	0.0395	281.5	5.068	10.36	1.78	1.50
	42.20	24.98	67.32	0.00	0.0620	11.28	496.4	415.37	0.0397	283.3	5.099	10.43	1.87	1.50
