Date/Time,Type,CO2_input (V),PAR_input (mV),Temp_air ('C),Temp_soil ('C),CO2 (ppm),PAR (umolsm2)
04/06/2021 16:12:42,Interval,2.4019,#N/A,#N/A,#N/A,480.38,#N/A
04/06/2021 16:12:43,Interval,2.4038,#N/A,#N/A,#N/A,480.75,#N/A
04/06/2021 16:12:44,Interval,2.4002,#N/A,#N/A,#N/A,480.04,#N/A
04/06/2021 16:12:45,Interval,2.3987,#N/A,#N/A,#N/A,479.74,#N/A
04/06/2021 16:12:46,Interval,2.3991,#N/A,#N/A,#N/A,479.83,#N/A
04/06/2021 16:12:47,Interval,2.3942,#N/A,#N/A,#N/A,478.84,#N/A
04/06/2021 16:12:48,Interval,2.3946,#N/A,#N/A,#N/A,478.92,#N/A
04/06/2021 16:12:49,Interval,2.3978,#N/A,#N/A,#N/A,479.55,#N/A
04/06/2021 16:12:50,Interval,2.3947,#N/A,#N/A,#N/A,478.93,#N/A
04/06/2021 16:12:51,Interval,2.3981,2.210734,26.34,17.67,479.63,563.30
04/06/2021 16:12:52,Interval,2.3954,#N/A,#N/A,#N/A,479.08,#N/A
04/06/2021 16:12:53,Interval,2.3953,#N/A,#N/A,#N/A,479.06,#N/A
04/06/2021 16:12:54,Interval,2.3910,#N/A,#N/A,#N/A,478.20,#N/A
04/06/2021 16:12:55,Interval,2.3906,#N/A,#N/A,#N/A,478.12,#N/A
04/06/2021 16:12:56,Interval,2.3918,#N/A,#N/A,#N/A,478.36,#N/A
04/06/2021 16:12:57,Interval,2.3961,#N/A,#N/A,#N/A,479.21,#N/A
04/06/2021 16:12:58,Interval,2.3906,#N/A,#N/A,#N/A,478.12,#N/A
04/06/2021 16:12:59,Interval,2.3918,#N/A,#N/A,#N/A,478.35,#N/A
04/06/2021 16:13:00,Interval,2.3925,#N/A,#N/A,#N/A,478.50,#N/A
04/06/2021 16:13:01,Interval,2.3827,2.245986,26.48,17.62,476.55,572.28
