Date/Time,Type,CO2_input (V),PAR_input (mV),Temp_air ('C),Temp_soil ('C),CO2 (ppm),PAR (umolsm2)
14/07/2021 13:47:48,Interval,2.0347,4.494361,24.57,19.72,406.94,1145.16
14/07/2021 13:47:49,Interval,2.0291,#N/A,#N/A,#N/A,405.82,#N/A
14/07/2021 13:47:50,Interval,2.0249,#N/A,#N/A,#N/A,404.97,#N/A
14/07/2021 13:47:51,Interval,2.0225,#N/A,#N/A,#N/A,404.51,#N/A
14/07/2021 13:47:52,Interval,2.0208,#N/A,#N/A,#N/A,404.17,#N/A
14/07/2021 13:47:53,Interval,2.0193,#N/A,#N/A,#N/A,403.86,#N/A
14/07/2021 13:47:54,Interval,2.0193,#N/A,#N/A,#N/A,403.86,#N/A
14/07/2021 13:47:55,Interval,2.0201,#N/A,#N/A,#N/A,404.01,#N/A
14/07/2021 13:47:56,Interval,2.0197,#N/A,#N/A,#N/A,403.94,#N/A
14/07/2021 13:47:57,Interval,2.0185,#N/A,#N/A,#N/A,403.70,#N/A
14/07/2021 13:47:58,Interval,2.0168,-0.001193,24.52,19.70,403.37,1025.50
14/07/2021 13:47:59,Interval,2.0124,#N/A,#N/A,#N/A,402.49,#N/A
14/07/2021 13:48:00,Interval,2.0085,#N/A,#N/A,#N/A,401.70,#N/A
14/07/2021 13:48:01,Interval,2.0057,#N/A,#N/A,#N/A,401.15,#N/A
14/07/2021 13:48:02,Interval,2.0034,#N/A,#N/A,#N/A,400.68,#N/A
14/07/2021 13:48:03,Interval,2.0034,#N/A,#N/A,#N/A,400.67,#N/A
14/07/2021 13:48:04,Interval,2.0029,#N/A,#N/A,#N/A,400.59,#N/A
14/07/2021 13:48:05,Interval,2.0038,#N/A,#N/A,#N/A,400.76,#N/A
14/07/2021 13:48:06,Interval,2.0037,#N/A,#N/A,#N/A,400.75,#N/A
14/07/2021 13:48:07,Interval,2.0041,#N/A,#N/A,#N/A,400.83,#N/A
