Apr 10 2019 at 16:05:53
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.48	24.86	67.37	0.00	0.0620	11.30	497.1	415.50	0.0329	224.2	4.036	8.25	-1.36	1.48
	1.50	24.86	67.34	0.00	0.0621	11.31	497.5	416.03	0.0332	227.2	4.090	8.36	-1.18	1.48
	2.48	24.86	67.31	0.00	0.0623	11.31	497.8	416.46	0.0334	226.3	4.074	8.33	-1.24	1.48
	3.50	24.84	67.34	0.00	0.0623	11.30	497.4	415.90	0.0340	228.8	4.119	8.42	-1.09	1.48
	4.49	24.86	67.34	0.00	0.0620	11.28	496.5	415.14	0.0341	232.3	4.182	8.55	-0.88	1.48
	5.50	24.84	67.32	0.00	0.0621	11.28	496.5	415.26	0.0342	235.6	4.240	8.67	-0.69	1.48
	6.49	24.84	67.34	0.00	0.0620	11.23	494.1	413.17	0.0349	239.1	4.304	8.80	-0.49	1.48
	7.49	24.82	67.32	0.00	0.0620	11.27	496.0	414.86	0.0347	237.9	4.283	8.76	-0.55	1.48
	8.48	24.82	67.34	0.00	0.0623	11.26	495.4	414.24	0.0348	239.3	4.308	8.80	-0.47	1.48
	9.48	24.84	67.32	0.00	0.0621	11.27	495.7	414.64	0.0351	242.2	4.359	8.91	-0.31	1.48
	10.48	24.84	67.34	0.00	0.0619	11.26	495.5	414.35	0.0353	243.5	4.383	8.96	-0.23	1.48
	11.48	24.84	67.31	0.00	0.0619	11.24	494.6	413.74	0.0354	244.7	4.405	9.01	-0.17	1.48
	12.48	24.82	67.31	0.00	0.0621	11.26	495.2	414.23	0.0359	246.6	4.438	9.07	-0.06	1.48
	13.50	24.84	67.31	0.00	0.0618	11.24	494.6	413.74	0.0359	249.3	4.488	9.18	0.09	1.48
	14.48	24.84	67.31	0.00	0.0618	11.24	494.5	413.62	0.0362	250.6	4.510	9.22	0.16	1.48
	15.50	24.82	67.31	0.00	0.0618	11.24	494.7	413.73	0.0365	253.3	4.559	9.32	0.31	1.48
	16.50	24.80	67.31	0.00	0.0620	11.25	495.0	414.02	0.0364	251.1	4.519	9.24	0.18	1.48
	17.50	24.82	67.34	0.00	0.0617	11.22	493.7	412.77	0.0367	256.1	4.609	9.42	0.46	1.48
	18.50	24.84	67.31	0.00	0.0618	11.22	493.5	412.77	0.0369	257.8	4.641	9.49	0.55	1.48
	19.50	24.80	67.34	0.00	0.0619	11.23	494.1	413.10	0.0370	257.7	4.639	9.48	0.55	1.48
	20.50	24.82	67.34	0.00	0.0616	11.19	492.5	411.81	0.0373	262.0	4.715	9.64	0.77	1.48
	21.50	24.80	67.29	0.00	0.0616	11.20	492.8	412.27	0.0377	263.9	4.750	9.71	0.87	1.48
	22.50	24.82	67.34	0.00	0.0617	11.18	492.1	411.41	0.0379	265.5	4.779	9.77	0.96	1.48
	23.48	24.82	67.34	0.00	0.0616	11.20	492.9	412.08	0.0378	265.5	4.778	9.77	0.96	1.48
	24.50	24.82	67.31	0.00	0.0618	11.19	492.2	411.69	0.0380	268.5	4.834	9.88	1.12	1.48
	25.48	24.82	67.29	0.00	0.0615	11.17	491.3	411.12	0.0384	271.8	4.893	10.01	1.29	1.48
	26.48	24.82	67.32	0.00	0.0617	11.16	490.9	410.54	0.0386	273.0	4.914	10.05	1.35	1.48
	27.48	24.82	67.32	0.00	0.0616	11.19	492.2	411.70	0.0387	272.5	4.905	10.03	1.32	1.48
	28.50	24.80	67.34	0.00	0.0619	11.16	490.8	410.36	0.0388	274.9	4.949	10.11	1.44	1.48
	29.48	24.82	67.31	0.00	0.0616	11.16	491.2	410.88	0.0391	276.3	4.974	10.17	1.51	1.48
	30.50	24.82	67.31	0.00	0.0616	11.16	490.9	410.56	0.0392	277.5	4.996	10.21	1.58	1.48
	31.48	24.82	67.32	0.00	0.0616	11.13	489.9	409.76	0.0393	279.9	5.038	10.30	1.69	1.48
	32.50	24.82	67.32	0.00	0.0613	11.12	489.1	409.10	0.0394	280.5	5.050	10.32	1.73	1.48
	33.48	24.80	67.31	0.00	0.0616	11.16	491.0	410.65	0.0396	279.0	5.022	10.27	1.65	1.48
	34.50	24.78	67.31	0.00	0.0612	11.14	490.0	409.77	0.0397	284.9	5.128	10.48	1.94	1.48
	35.58	24.76	67.32	0.00	0.0615	11.11	488.8	408.79	0.0401	288.7	5.197	10.62	2.13	1.48
	36.50	24.80	67.34	0.00	0.0614	11.13	489.7	409.40	0.0401	287.5	5.174	10.57	2.07	1.48
	37.58	24.83	67.31	0.00	0.0613	11.12	489.4	409.34	0.0404	288.6	5.195	10.62	2.12	1.48
	38.50	24.84	67.31	0.00	0.0614	11.12	489.2	409.21	0.0407	289.6	5.213	10.66	2.17	1.48
	39.58	24.80	67.31	0.00	0.0614	11.11	488.9	408.93	0.0405	290.6	5.231	10.69	2.22	1.48
	40.50	24.82	67.31	0.00	0.0613	11.09	487.8	407.99	0.0409	293.1	5.275	10.79	2.34	1.48
	41.50	24.80	67.34	0.00	0.0612	11.10	488.6	408.50	0.0406	292.5	5.266	10.76	2.31	1.48
	42.50	24.80	67.31	0.00	0.0612	11.09	487.8	407.97	0.0410	295.5	5.319	10.88	2.45	1.48
	43.50	24.80	67.31	0.00	0.0614	11.08	487.7	407.89	0.0414	296.0	5.328	10.89	2.48	1.48
	44.48	24.80	67.34	0.00	0.0613	11.10	488.3	408.28	0.0409	295.7	5.323	10.88	2.46	1.48
	45.50	24.80	67.34	0.00	0.0611	11.11	488.9	408.76	0.0407	296.1	5.329	10.89	2.48	1.48
	46.48	24.80	67.31	0.00	0.0613	11.08	487.5	407.70	0.0415	299.0	5.381	11.00	2.62	1.48
	47.50	24.79	67.34	0.00	0.0612	11.07	487.1	407.23	0.0416	300.6	5.411	11.06	2.69	1.48
	48.48	24.79	67.34	0.00	0.0613	11.07	487.1	407.25	0.0417	301.7	5.431	11.10	2.74	1.48
	49.50	24.79	67.34	0.00	0.0612	11.05	486.2	406.50	0.0418	302.8	5.450	11.14	2.80	1.48
	50.48	24.79	67.37	0.00	0.0612	11.10	488.3	408.06	0.0417	301.5	5.427	11.09	2.74	1.48
	51.50	24.79	67.34	0.00	0.0611	11.04	485.7	406.04	0.0420	305.0	5.491	11.22	2.90	1.48
	52.48	24.79	67.29	0.00	0.0611	11.06	486.6	407.09	0.0421	305.1	5.491	11.23	2.90	1.48
	53.50	24.79	67.31	0.00	0.0610	11.04	485.7	406.19	0.0423	307.8	5.541	11.33	3.03	1.48
	54.48	24.79	67.32	0.00	0.0610	11.06	486.5	406.89	0.0423	306.5	5.517	11.28	2.97	1.48
	55.50	24.79	67.32	0.00	0.0610	11.04	485.7	406.21	0.0425	309.1	5.564	11.37	3.09	1.48
	56.48	24.79	67.31	0.00	0.0609	11.03	485.1	405.74	0.0427	310.7	5.593	11.43	3.16	1.48
	57.52	24.79	67.32	249.90	0.0610	11.05	486.4	406.78	0.0425	310.1	5.581	11.41	3.13	1.48
	58.58	24.79	67.34	0.00	0.0608	11.01	484.5	405.08	0.0429	313.0	5.633	11.51	3.26	1.48
	59.48	24.79	67.31	0.00	0.0609	11.06	486.8	407.15	0.0427	311.6	5.608	11.47	3.20	1.48
	60.56	24.79	67.34	0.00	0.0610	11.03	485.5	405.85	0.0431	313.3	5.640	11.53	3.28	1.48
	61.48	24.79	67.29	0.00	0.0612	11.02	485.0	405.74	0.0431	314.0	5.652	11.56	3.31	1.48
	62.50	24.75	67.31	0.00	0.0611	11.02	484.9	405.51	0.0432	315.1	5.672	11.59	3.36	1.48
	63.50	24.77	67.34	0.00	0.0610	11.04	485.6	405.94	0.0432	315.3	5.676	11.60	3.37	1.48
	64.50	24.76	67.29	0.00	0.0610	10.99	483.6	404.58	0.0436	319.9	5.758	11.77	3.57	1.48
	65.50	24.75	67.31	0.00	0.0608	10.98	483.1	404.00	0.0437	319.9	5.759	11.77	3.57	1.48
	66.50	24.77	67.31	0.00	0.0611	10.99	483.6	404.43	0.0436	319.4	5.750	11.75	3.55	1.48
	67.50	24.79	67.29	0.00	0.0608	10.99	483.7	404.71	0.0437	320.5	5.770	11.80	3.60	1.48
	68.50	24.79	67.31	0.00	0.0608	11.00	484.0	404.79	0.0436	320.3	5.765	11.79	3.59	1.48
	69.50	24.77	67.32	0.00	0.0607	10.99	483.6	404.37	0.0437	322.3	5.801	11.86	3.68	1.48
	70.50	24.76	67.29	0.00	0.0608	10.98	483.3	404.31	0.0439	323.0	5.814	11.89	3.71	1.48
	71.48	24.77	67.31	0.00	0.0608	11.01	484.4	405.12	0.0439	322.8	5.811	11.88	3.70	1.48
	72.48	24.75	67.34	0.00	0.0608	11.00	484.1	404.64	0.0442	324.0	5.833	11.92	3.75	1.48
	73.48	24.79	67.34	0.00	0.0606	10.97	482.6	403.47	0.0443	326.3	5.874	12.01	3.86	1.48
	74.48	24.77	67.34	0.00	0.0609	10.94	481.5	402.47	0.0444	328.7	5.916	12.09	3.95	1.48
	75.48	24.77	67.34	0.00	0.0609	10.97	482.5	403.33	0.0446	327.7	5.899	12.05	3.91	1.48
	76.50	24.75	67.31	0.00	0.0606	10.91	479.8	401.26	0.0450	332.2	5.979	12.22	4.11	1.48
	77.48	24.77	67.31	0.00	0.0607	10.97	482.5	403.54	0.0447	330.0	5.940	12.14	4.01	1.48
	78.50	24.77	67.31	0.00	0.0607	10.97	482.5	403.48	0.0446	329.7	5.934	12.13	4.00	1.48
	79.58	24.73	67.31	0.00	0.0607	10.96	482.2	403.17	0.0447	331.5	5.967	12.20	4.08	1.48
	80.50	24.77	67.32	0.00	0.0607	10.95	481.9	403.00	0.0451	333.5	6.004	12.27	4.16	1.48
	81.50	24.77	67.32	0.00	0.0607	10.96	482.1	403.15	0.0451	332.6	5.987	12.24	4.12	1.48
	82.50	24.77	67.32	0.00	0.0606	10.96	482.3	403.35	0.0450	334.1	6.015	12.29	4.19	1.48
	83.50	24.77	67.34	0.00	0.0608	10.92	480.5	401.66	0.0454	337.2	6.069	12.40	4.32	1.48
	84.50	24.77	67.34	0.00	0.0607	10.95	481.8	402.76	0.0453	336.0	6.047	12.36	4.27	1.48
	85.50	24.75	67.31	0.00	0.0606	10.92	480.6	401.88	0.0454	336.9	6.064	12.40	4.31	1.48
	86.50	24.75	67.34	0.00	0.0607	10.94	481.3	402.35	0.0454	337.9	6.082	12.43	4.35	1.48
	87.50	24.75	67.34	0.00	0.0606	10.92	480.6	401.71	0.0459	339.4	6.109	12.48	4.41	1.48
	88.50	24.75	67.31	0.00	0.0606	10.93	480.8	402.02	0.0455	340.1	6.122	12.51	4.44	1.48
	89.50	24.75	67.31	0.00	0.0609	10.93	481.1	402.26	0.0457	340.4	6.127	12.52	4.45	1.48
	90.48	24.75	67.31	0.00	0.0606	10.93	481.1	402.32	0.0458	340.7	6.133	12.54	4.47	1.48
