Apr 10 2019 at 16:30:04
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.77	23.24	67.34	0.00	0.0658	12.16	535.2	445.08	0.0390	276.1	4.970	10.10	1.43	1.47
	1.78	23.22	67.31	0.00	0.0656	12.15	534.5	444.67	0.0395	277.9	5.002	10.17	1.52	1.47
	2.78	23.24	67.31	0.00	0.0656	12.14	533.9	444.23	0.0397	280.8	5.054	10.28	1.66	1.47
	3.77	23.22	67.31	0.00	0.0657	12.13	533.6	443.94	0.0399	283.3	5.099	10.37	1.79	1.47
	4.78	23.22	67.29	0.00	0.0657	12.13	533.8	444.21	0.0397	282.6	5.087	10.35	1.75	1.47
	5.77	23.20	67.29	0.00	0.0656	12.14	534.2	444.54	0.0398	283.4	5.102	10.38	1.79	1.47
	6.78	23.24	67.29	0.00	0.0656	12.12	533.1	443.65	0.0403	288.4	5.191	10.56	2.04	1.47
	7.77	23.24	67.31	0.00	0.0656	12.12	533.4	443.80	0.0401	286.8	5.162	10.50	1.96	1.47
	8.78	23.22	67.34	0.00	0.0657	12.13	533.6	443.77	0.0401	286.4	5.155	10.48	1.94	1.47
	9.77	23.22	67.31	0.00	0.0657	12.12	533.5	443.80	0.0401	287.2	5.169	10.51	1.98	1.47
	10.78	23.18	67.31	0.00	0.0656	12.13	533.9	444.09	0.0404	287.2	5.169	10.51	1.98	1.47
	11.78	23.22	67.31	0.00	0.0655	12.11	532.9	443.31	0.0405	291.6	5.250	10.68	2.19	1.47
	12.78	23.24	67.31	0.00	0.0655	12.12	533.1	443.56	0.0404	292.2	5.259	10.70	2.22	1.47
	13.77	23.22	67.32	0.00	0.0656	12.11	533.0	443.38	0.0408	291.5	5.247	10.67	2.19	1.47
	14.78	23.22	67.31	0.00	0.0656	12.12	533.1	443.50	0.0406	294.7	5.305	10.79	2.34	1.47
	15.78	23.22	67.31	0.00	0.0656	12.11	532.8	443.28	0.0413	297.9	5.361	10.90	2.49	1.47
	16.77	23.22	67.31	0.00	0.0656	12.12	533.3	443.66	0.0411	296.0	5.327	10.83	2.40	1.47
	17.78	23.22	67.31	0.00	0.0656	12.12	533.4	443.75	0.0409	293.0	5.274	10.73	2.26	1.47
	18.78	23.20	67.34	0.00	0.0656	12.12	533.3	443.43	0.0410	294.7	5.305	10.78	2.34	1.47
	19.80	23.18	67.31	249.90	0.0656	12.12	533.3	443.60	0.0412	296.9	5.344	10.87	2.44	1.47
	20.78	23.20	67.31	0.00	0.0656	12.11	532.8	443.19	0.0413	298.6	5.375	10.93	2.52	1.47
	21.86	23.20	67.34	0.00	0.0656	12.12	533.2	443.42	0.0418	300.8	5.414	11.00	2.63	1.47
	22.78	23.22	67.31	0.00	0.0656	12.12	533.3	443.68	0.0415	299.9	5.399	10.98	2.59	1.47
	23.80	23.20	67.29	0.00	0.0657	12.12	533.3	443.76	0.0416	300.5	5.409	11.00	2.61	1.47
	24.78	23.20	67.29	0.00	0.0656	12.12	533.3	443.80	0.0421	306.4	5.516	11.22	2.89	1.47
	25.80	23.18	67.31	0.00	0.0656	12.12	533.2	443.54	0.0422	307.9	5.541	11.27	2.95	1.47
	26.78	23.20	67.31	0.00	0.0657	12.12	533.2	443.56	0.0419	305.4	5.497	11.18	2.84	1.47
	27.78	23.20	67.29	0.00	0.0655	12.11	533.0	443.52	0.0419	302.4	5.443	11.07	2.70	1.47
	28.77	23.20	67.31	0.00	0.0656	12.12	533.3	443.67	0.0424	307.9	5.542	11.27	2.95	1.47
	29.78	23.20	67.31	0.00	0.0656	12.12	533.3	443.66	0.0424	308.2	5.547	11.28	2.97	1.47
	30.77	23.20	67.29	0.00	0.0656	12.12	533.4	443.89	0.0421	305.9	5.507	11.20	2.86	1.47
	31.78	23.20	67.31	0.00	0.0656	12.12	533.3	443.67	0.0422	305.9	5.506	11.20	2.86	1.47
	32.77	23.20	67.31	0.00	0.0655	12.13	533.7	443.98	0.0425	310.1	5.581	11.35	3.05	1.47
	33.78	23.22	67.29	0.00	0.0656	12.13	533.6	444.07	0.0426	310.0	5.580	11.35	3.05	1.47
	34.77	23.17	67.34	0.00	0.0656	12.13	533.5	443.64	0.0426	310.5	5.589	11.36	3.07	1.47
	35.78	23.20	67.34	0.00	0.0656	12.12	533.2	443.39	0.0424	309.1	5.564	11.31	3.01	1.47
	36.77	23.20	67.31	0.00	0.0656	12.12	533.5	443.79	0.0426	310.9	5.596	11.38	3.09	1.47
	37.78	23.19	67.31	0.00	0.0656	12.13	533.5	443.81	0.0426	310.0	5.580	11.35	3.05	1.47
	38.77	23.20	67.31	0.00	0.0656	12.13	533.5	443.84	0.0429	314.2	5.656	11.50	3.24	1.47
	39.78	23.20	67.31	0.00	0.0657	12.12	533.5	443.78	0.0431	314.0	5.652	11.49	3.23	1.47
	40.77	23.20	67.31	0.00	0.0655	12.12	533.1	443.50	0.0430	313.7	5.647	11.48	3.22	1.47
	41.78	23.20	67.32	0.00	0.0656	12.12	533.5	443.76	0.0430	313.6	5.644	11.48	3.21	1.47
	42.86	23.20	67.29	0.00	0.0656	12.13	533.6	444.01	0.0429	314.5	5.660	11.51	3.25	1.47
	43.78	23.19	67.31	0.00	0.0656	12.13	533.6	443.87	0.0432	313.9	5.651	11.49	3.23	1.47
	44.80	23.19	67.32	0.00	0.0657	12.12	533.4	443.71	0.0432	314.1	5.653	11.49	3.24	1.47
	45.78	23.19	67.29	0.00	0.0656	12.13	533.6	444.01	0.0432	315.9	5.686	11.56	3.32	1.47
	46.80	23.19	67.31	0.00	0.0657	12.12	533.4	443.70	0.0433	314.9	5.668	11.53	3.27	1.47
	47.78	23.20	67.31	0.00	0.0656	12.12	533.4	443.74	0.0436	317.6	5.717	11.62	3.39	1.47
	48.80	23.19	67.31	0.00	0.0656	12.12	533.2	443.53	0.0432	317.1	5.707	11.60	3.37	1.47
	49.78	23.19	67.31	0.00	0.0656	12.13	533.6	443.82	0.0437	319.1	5.743	11.68	3.46	1.47
	50.80	23.20	67.31	0.00	0.0656	12.13	533.6	443.85	0.0435	319.7	5.754	11.70	3.49	1.47
	51.78	23.19	67.31	0.00	0.0656	12.12	533.3	443.61	0.0436	318.4	5.732	11.65	3.43	1.47
	52.78	23.19	67.31	0.00	0.0656	12.12	533.5	443.74	0.0437	319.8	5.756	11.70	3.49	1.47
	53.78	23.20	67.31	0.00	0.0656	12.13	533.8	444.04	0.0437	320.4	5.767	11.73	3.52	1.47
	54.78	23.19	67.31	0.00	0.0656	12.12	533.4	443.72	0.0437	321.1	5.781	11.75	3.55	1.47
	55.78	23.19	67.31	0.00	0.0656	12.13	533.6	443.87	0.0437	321.1	5.779	11.75	3.55	1.47
	56.78	23.17	67.31	0.00	0.0657	12.13	533.7	443.90	0.0442	322.7	5.809	11.81	3.62	1.47
	57.78	23.19	67.31	0.00	0.0656	12.13	533.5	443.81	0.0441	323.4	5.821	11.84	3.65	1.47
	58.78	23.19	67.31	0.00	0.0657	12.13	533.6	443.90	0.0440	322.8	5.811	11.82	3.62	1.47
	59.78	23.17	67.31	0.00	0.0656	12.12	533.3	443.59	0.0439	323.0	5.814	11.82	3.63	1.47
	60.78	23.17	67.31	0.00	0.0656	12.14	534.0	444.21	0.0442	324.7	5.844	11.88	3.70	1.47
	61.75	23.17	67.29	0.00	0.0656	12.13	533.6	444.02	0.0440	324.2	5.835	11.87	3.68	1.47
	62.78	23.17	67.29	0.00	0.0657	12.13	533.6	444.04	0.0442	324.4	5.839	11.88	3.69	1.47
	63.86	23.17	67.29	0.00	0.0657	12.13	533.8	444.18	0.0444	326.0	5.868	11.94	3.76	1.47
	64.75	23.15	67.31	0.00	0.0656	12.13	533.6	443.79	0.0443	325.4	5.857	11.91	3.74	1.47
	65.78	23.17	67.29	0.00	0.0657	12.13	533.9	444.26	0.0443	326.4	5.874	11.95	3.78	1.47
	66.77	23.15	67.29	0.00	0.0657	12.13	533.7	444.05	0.0443	326.2	5.871	11.94	3.77	1.47
	67.78	23.21	67.34	0.00	0.0656	12.13	533.6	443.76	0.0444	327.9	5.903	12.00	3.85	1.47
	68.78	23.19	67.31	0.00	0.0656	12.13	533.6	443.86	0.0445	328.7	5.916	12.03	3.88	1.47
	69.78	23.17	67.34	0.00	0.0657	12.13	533.8	443.85	0.0446	328.5	5.912	12.02	3.87	1.47
	70.78	23.21	67.31	0.00	0.0657	12.13	533.6	443.93	0.0444	326.0	5.867	11.93	3.76	1.47
	71.77	23.17	67.31	0.00	0.0656	12.13	533.9	444.13	0.0448	331.3	5.963	12.12	3.99	1.47
	72.78	23.17	67.32	0.00	0.0657	12.13	533.7	443.91	0.0446	329.2	5.925	12.05	3.90	1.47
	73.78	23.13	67.31	0.00	0.0657	12.13	533.8	443.93	0.0447	328.4	5.912	12.02	3.87	1.47
	74.78	23.17	67.31	0.00	0.0656	12.14	534.0	444.15	0.0446	328.9	5.919	12.04	3.89	1.47
	75.78	23.13	67.31	0.00	0.0657	12.14	534.0	444.08	0.0447	329.3	5.927	12.05	3.90	1.47
	76.77	23.13	67.29	0.00	0.0657	12.13	533.8	444.11	0.0446	329.8	5.937	12.07	3.93	1.47
	77.78	23.15	67.31	0.00	0.0657	12.14	534.0	444.16	0.0447	330.6	5.950	12.10	3.96	1.47
	78.78	23.17	67.31	0.00	0.0656	12.14	534.0	444.14	0.0448	333.2	5.998	12.20	4.07	1.47
	79.78	23.13	67.31	0.00	0.0657	12.13	533.9	444.02	0.0451	334.0	6.011	12.22	4.10	1.47
	80.78	23.17	67.31	0.00	0.0657	12.13	533.7	443.95	0.0448	331.5	5.967	12.13	4.00	1.47
	81.78	23.17	67.31	0.00	0.0657	12.14	534.0	444.15	0.0450	332.8	5.990	12.18	4.06	1.47
